"Time stamp","System power generated | (kW)"
"1133",-12.2538
"1134",-12.2538
"1135",-12.2538
"1136",14378.9
"1137",44016.6
"1138",43198.5
"1139",52920.3
"1140",58924.1
"1141",41108.7
"1142",34529.1
"1143",31982.8
"1144",23337
"1145",30520.3
"1146",7646.92
"1147",-12.2538
"1148",-12.2538
"1149",-12.2538
"1150",-12.2538
"1151",-12.2538
"1152",-12.2538
"1153",-12.2538
"1154",-12.2538
"1155",-12.2538
"1156",-12.2538
"1157",-12.2538
"1158",-12.2538
"1159",-12.2538
"1160",657.697
"1161",37710.6
"1162",68158.2
"1163",67581.5
"1164",62667.9
"1165",60960
"1166",62848.4
"1167",66335.1
"1168",68994.7
"1169",62395.9
"1170",40203.4
"1171",-12.2538
"1172",-12.2538
"1173",-12.2538
"1174",-12.2538
"1175",-12.2538
"1176",-12.2538
"1177",-12.2538
"1178",-12.2538
"1179",-12.2538
"1180",-12.2538
"1181",-12.2538
"1182",-12.2538
"1183",-12.2538
"1184",17910.3
"1185",58274.6
"1186",69813.2
"1187",69181.5
"1188",65109.5
"1189",62188.9
"1190",62704.4
"1191",66293.5
"1192",67800
"1193",60522.8
"1194",35881.6
"1195",-12.2538
"1196",-12.2538
"1197",-12.2538
"1198",-12.2538
"1199",-12.2538
"1200",-12.2538
"1201",-12.2538
"1202",-12.2538
"1203",-12.2538
"1204",-12.2538
"1205",-12.2538
"1206",-12.2538
"1207",-12.2538
"1208",12969.5
"1209",53724.1
"1210",65975.8
"1211",67201.1
"1212",64387
"1213",61734
"1214",62284.3
"1215",65469.8
"1216",68423.4
"1217",62548
"1218",41336
"1219",-12.2538
"1220",-12.2538
"1221",-12.2538
"1222",-12.2538
"1223",-12.2538
"1224",-12.2538
"1225",-12.2538
"1226",-12.2538
"1227",-12.2538
"1228",-12.2538
"1229",-12.2538
"1230",-12.2538
"1231",-12.2538
"1232",19472.2
"1233",57811.9
"1234",68731.9
"1235",69341.7
"1236",55737.3
"1237",63391.3
"1238",64150.9
"1239",67148.4
"1240",68936.2
"1241",60874
"1242",37957.3
"1243",-12.2538
"1244",-12.2538
"1245",-12.2538
"1246",-12.2538
"1247",-12.2538
"1248",-12.2538
"1249",-12.2538
"1250",-12.2538
"1251",-12.2538
"1252",-12.2538
"1253",-12.2538
"1254",-12.2538
"1255",-12.2538
"1256",11870.7
"1257",26366
"1258",65050.2
"1259",54400.9
"1260",53280.7
"1261",52373.1
"1262",50108.6
"1263",48241
"1264",50293.9
"1265",24889.6
"1266",33410.1
"1267",-12.2538
"1268",-12.2538
"1269",-12.2538
"1270",-12.2538
"1271",-12.2538
"1272",-12.2538
"1273",-12.2538
"1274",-12.2538
"1275",-12.2538
"1276",-12.2538
"1277",-12.2538
"1278",-12.2538
"1279",-12.2538
"1280",-12.2538
"1281",6826.36
"1282",4992.1
"1283",54581.5
"1284",70561.7
"1285",68507.2
"1286",69780.5
"1287",72789.6
"1288",73821.1
"1289",49002.6
"1290",38940.5
"1291",-12.2538
"1292",-12.2538
"1293",-12.2538
"1294",-12.2538
"1295",-12.2538
"1296",-12.2538
"1297",-12.2538
"1298",-12.2538
"1299",-12.2538
"1300",-12.2538
"1301",-12.2538
"1302",-12.2538
"1303",-12.2538
"1304",24590.9
"1305",59273.2
"1306",70700.1
"1307",72262.5
"1308",69768.2
"1309",67708.9
"1310",58819.5
"1311",70664.2
"1312",57933.1
"1313",44739.3
"1314",17931.8
"1315",-12.2538
"1316",-12.2538
"1317",-12.2538
"1318",-12.2538
"1319",-12.2538
"1320",-12.2538
"1321",-12.2538
"1322",-12.2538
"1323",-12.2538
"1324",-12.2538
"1325",-12.2538
"1326",-12.2538
"1327",-12.2538
"1328",412.367
"1329",8627.42
"1330",39623.4
"1331",38894.4
"1332",54827.5
"1333",50034.1
"1334",40671.8
"1335",38387
"1336",25006.5
"1337",10760.9
"1338",1963.03
"1339",-12.2538
"1340",-12.2538
"1341",-12.2538
"1342",-12.2538
"1343",-12.2538
"1344",-12.2538
"1345",-12.2538
"1346",-12.2538
"1347",-12.2538
"1348",-12.2538
"1349",-12.2538
"1350",-12.2538
