"Time stamp","Subarray 1 Cell temperature (steady state) | (C)"
"735",42.2435
"736",39.1781
"737",44.5152
"738",45.1528
"739",39.7132
"740",36.54
"741",31.8954
"742",27
"743",26.8
"744",26.7
"745",26.7
"746",26.4
"747",26.3
"748",26.1
"749",26
"750",25.9
"751",25.8
"752",25.7
"753",26.2
"754",33.9027
"755",38.4302
"756",41.6908
"757",38.3693
"758",41.5825
"759",42.4193
"760",43.2975
"761",45.1656
"762",43.4532
"763",39.6711
"764",35.265
"765",30.6994
"766",26.9
"767",26.7
"768",26.4
"769",26.4
"770",26.3
"771",26.2
"772",26.1
"773",26
"774",25.9
"775",25.7
"776",25.6
"777",25.9
"778",31.3501
"779",40.5225
"780",40.9237
"781",45.746
"782",46.6907
"783",45.9748
"784",45.0816
"785",46.371
"786",45.4266
"787",40.539
"788",39.9958
"789",34.2253
"790",27.2
"791",26.8
"792",26.6
"793",26.4
"794",26.2
"795",25.9
"796",25.7
"797",25.5
"798",25.4
"799",25.3
"800",25.2
"801",25.6
"802",33.3986
"803",37.6906
"804",43.161
"805",41.8508
"806",42.428
"807",41.5994
"808",46.6788
"809",47.3746
"810",46.8469
"811",44.1537
"812",42.0705
"813",35.3936
"814",26.9
"815",26.6
"816",26.4
"817",26.2
"818",26.1
"819",25.8
"820",25.6
"821",25.4
"822",25.3
"823",25.2
"824",25.1
"825",25.5
"826",34.4638
"827",42.1097
"828",44.1924
"829",47.4888
"830",43.043
"831",41.8238
"832",39.2924
"833",47.1236
"834",46.8348
"835",45.4883
"836",41.5836
"837",34.7926
"838",27.1
"839",26.8
"840",26.6
"841",26.4
"842",26.1
"843",25.8
"844",25.5
"845",25.3
"846",25.1
"847",25
"848",25
"849",25.6
"850",34.6495
"851",42.1325
"852",45.8269
"853",47.1688
"854",47.3727
"855",47.3383
"856",47.226
"857",47.1159
"858",46.6487
"859",45.1582
"860",42.0854
"861",35.8685
"862",27
"863",26.7
"864",26.4
"865",26.1
"866",26.1
"867",26.2
"868",26.2
"869",26
"870",25.8
"871",25.5
"872",25.3
"873",25.7
"874",35.6717
"875",43.1486
"876",45.3886
"877",48.6643
"878",49.7023
"879",49.8411
"880",49.5094
"881",48.9185
"882",48.1082
"883",46.5417
"884",43.1069
"885",36.7619
"886",27.1
"887",26.7
"888",26.4
"889",26.1
"890",26
"891",25.8
"892",25.6
"893",25.4
"894",25.2
"895",25.1
"896",25.1
"897",25.5
"898",34.8189
"899",42.5813
"900",45.0806
"901",46.7865
"902",49.462
"903",47.7149
"904",48.4554
"905",45.4568
"906",42.1836
"907",38.0254
"908",34.6587
"909",30.4509
"910",27.1
"911",26.9
"912",26.6
"913",26.6
"914",26.4
"915",26.2
"916",26.1
"917",25.9
"918",25.8
"919",25.7
"920",25.6
"921",26
"922",36.2191
"923",44.2168
"924",47.0031
"925",50.3085
"926",50.7236
"927",50.7154
"928",50.2579
"929",49.203
"930",48.0384
"931",46.174
"932",36.2341
"933",32.098
"934",27.5
"935",27.2
"936",27
"937",26.8
"938",26.5
"939",26.2
"940",25.9
"941",25.7
"942",25.5
"943",25.4
"944",25.1
"945",25.6
"946",36.4198
"947",44.424
"948",48.5512
"949",50.4968
"950",50.022
"951",50.4595
"952",49.8565
"953",48.9035
"954",47.4501
"955",45.8747
"956",41.1229
"957",32.9367
"958",26.9
"959",26.6
"960",26.4
"961",26.3
"962",26.2
"963",26.2
"964",26.1
"965",25.9
"966",25.8
"967",25.8
"968",25.7
"969",26.2
"970",35.521
"971",38.397
"972",47.1596
"973",45.7996
"974",49.2215
"975",49.2128
"976",48.2764
"977",47.2138
"978",46.2797
"979",44.5963
"980",41.4117
"981",34.9872
"982",27
"983",26.8
"984",26.8
"985",26.7
"986",26.6
"987",26.5
"988",26.4
"989",26.3
"990",26.2
"991",26.1
"992",26.1
"993",26.4
"994",33.3964
"995",40.3062
"996",43.7899
"997",38.5238
"998",43.3191
"999",45.3523
"1000",46.0702
"1001",45.3175
"1002",45.5884
"1003",43.2278
"1004",40.4809
"1005",34.0762
"1006",27.4
"1007",27.2
"1008",27.1
"1009",26.9
"1010",26.8
"1011",26.5
"1012",26.3
"1013",26.2
"1014",26
"1015",25.9
"1016",25.9
"1017",26.3
"1018",33.9456
"1019",41.5916
"1020",44.7084
"1021",41.1855
"1022",45.0268
"1023",43.569
"1024",39.2428
"1025",37.27
"1026",34.6192
"1027",34.3248
"1028",30.7884
"1029",32.3609
"1030",26.9
"1031",26.5
"1032",26.3
"1033",26.1
"1034",26
"1035",25.9
"1036",25.7
"1037",25.6
"1038",25.5
"1039",25.5
"1040",25.4
"1041",25.7
"1042",33.0803
"1043",31.6411
"1044",39.1316
"1045",43.8681
"1046",41.4493
"1047",37.5113
"1048",42.3248
"1049",39.4267
"1050",38.7126
"1051",43.6582
"1052",40.4458
"1053",34.4604
"1054",26.9
"1055",26.6
"1056",26.3
"1057",26.2
"1058",26
"1059",25.9
"1060",25.8
"1061",25.6
"1062",25.5
"1063",25.4
"1064",25.3
"1065",25.6
"1066",32.8519
"1067",34.3721
"1068",36.1366
"1069",43.0685
"1070",48.8032
"1071",42.5735
"1072",43.1037
"1073",49.7083
"1074",48.9927
"1075",46.3723
"1076",41.8812
"1077",34.3015
"1078",27
"1079",26.8
"1080",26.7
"1081",26.6
"1082",26.5
"1083",26.4
"1084",26.2
"1085",26
"1086",25.9
"1087",25.7
"1088",25.7
"1089",26
"1090",29.3343
"1091",32.3705
"1092",38.8903
"1093",35.8789
"1094",40.6667
"1095",37.2393
"1096",44.4746
"1097",37.753
"1098",35.6032
"1099",38.6801
"1100",36.6176
"1101",34.5823
"1102",27.6
"1103",27.3
"1104",27.2
"1105",27
"1106",26.9
"1107",26.7
"1108",26.5
"1109",26.3
"1110",26.1
"1111",25.9
"1112",25.8
"1113",26.2
"1114",33.1547
"1115",38.1718
"1116",39.3348
"1117",47.2641
"1118",46.9358
"1119",46.9599
"1120",44.925
"1121",43.7638
"1122",40.7437
"1123",38.4626
"1124",33.1965
"1125",29.1658
"1126",27.3
"1127",27.1
"1128",26.9
"1129",26.7
"1130",26.6
"1131",26.4
"1132",26.2
"1133",26.1
"1134",26.1
"1135",26
"1136",26
"1137",26.2
"1138",30.0023
"1139",36.2981
"1140",43.9093
"1141",43.4963
"1142",47.0009
"1143",48.3999
"1144",47.8536
"1145",46.4882
"1146",43.5604
"1147",41.418
"1148",42.0034
"1149",35.4622
"1150",27.3
"1151",26.9
"1152",26.6
"1153",26.2
"1154",25.9
"1155",25.6
"1156",25.4
"1157",25.2
"1158",25.1
"1159",24.9
"1160",24.9
"1161",25.5
"1162",34.3032
"1163",43.3947
"1164",48.654
"1165",48.249
"1166",47.7707
"1167",49.0918
"1168",50.5788
"1169",49.7808
"1170",48.441
"1171",46.6729
"1172",43.0225
"1173",36.6615
"1174",27.3
"1175",26.8
"1176",26.4
"1177",26.1
"1178",25.8
"1179",25.5
"1180",25.2
"1181",25
"1182",24.7
"1183",24.6
"1184",24.6
"1185",25.2
"1186",35.1338
"1187",43.7135
"1188",48.1049
"1189",47.7814
"1190",51.8572
"1191",51.978
"1192",51.3114
"1193",48.4332
"1194",48.4764
"1195",46.094
"1196",41.8744
"1197",34.9923
"1198",27
"1199",26.7
"1200",26.4
"1201",26.2
"1202",26
"1203",25.9
"1204",25.8
"1205",25.7
"1206",25.7
"1207",25.7
"1208",25.6
"1209",26
"1210",34.1486
"1211",39.7755
"1212",44.4299
"1213",46.4145
"1214",49.8511
"1215",49.1155
"1216",46.1206
"1217",44.9244
"1218",45.1162
"1219",45.3764
"1220",41.4055
"1221",34.6905
"1222",27.3
"1223",27.1
"1224",27
"1225",26.8
"1226",26.7
"1227",26.5
"1228",26.3
"1229",26.2
"1230",26.1
"1231",26
