hour,P1_0 kW,P1_1 kW,P1_2 kW,P1_3 kW,P1_4 kW,P1_5 kW,P1_6 kW,P1_7 kW,P1_8 kW,P1_9 kW,P1_10 kW
30,518.127,516.988,523.792,521.786,525.654,532.448,528.349,534.169,537.887,535.23,540.758
31,523.632,521.296,526.959,523.771,526.499,532.229,526.881,531.651,534.472,530.606,535.127
32,528.738,525.256,529.818,525.479,527.091,531.76,525.167,528.875,530.79,525.69,529.163
33,533.963,531.849,537.72,534.693,537.648,543.6,538.439,543.425,546.361,542.686,547.422
34,538.812,535.812,540.83,536.909,539.004,544.147,538.028,542.203,544.442,539.827,543.771
35,541.664,537.379,541.153,535.937,536.753,540.677,533.135,536.072,537.272,531.223,533.92
36,544.475,539.142,541.892,535.602,535.345,538.237,529.48,531.346,531.649,524.348,525.937
37,547.017,543.196,547.411,542.628,543.911,548.289,541.235,544.633,546.174,540.628,543.796
38,549.752,544.899,548.107,542.271,542.503,545.88,537.651,540.017,540.694,533.946,536.059
39,552.893,547.243,549.663,542.996,542.404,544.975,535.798,537.33,537.299,529.567,530.805
40,556.202,549.778,551.428,543.942,542.531,544.311,534.179,534.867,534.122,525.388,525.726
41,559.238,552.056,552.948,544.651,542.424,543.405,532.317,532.146,530.676,520.916,520.318
42,562.437,554.521,554.673,545.58,542.547,542.734,530.69,529.654,527.453,516.653,515.093
43,564.957,556.506,556.116,546.438,542.81,542.407,529.65,527.963,525.212,513.626,511.333
44,567.442,558.272,557.149,546.679,542.237,541.018,527.287,524.693,521.182,508.504,505.173
45,569.894,556.137,550.306,534.717,524.794,517.951,497.427,488.244,479.365,458.647,447.233
46,572.313,558.1,551.787,535.654,525.129,517.666,496.377,486.445,476.917,455.26,442.838
47,573.125,558.542,551.861,535.32,524.35,516.422,494.547,484.032,474.027,451.641,438.451
48,572.928,558.137,551.238,534.453,523.212,514.995,492.772,481.907,471.619,448.782,435.141
49,572.919,555.795,546.418,526.87,512.523,500.983,474.679,459.626,445.944,417.877,400.066
50,572.728,555.387,545.781,525.968,511.327,499.474,472.776,457.305,443.291,414.76,396.578
51,572.315,554.953,545.32,525.475,510.794,498.9,472.156,456.635,442.586,414.042,395.808
52,572.127,554.739,545.088,525.225,510.526,498.613,471.847,456.305,442.24,413.691,395.432
53,571.927,552.553,540.771,518.48,500.997,486.036,455.493,436.187,418.767,386.703,363.516
54,571.726,552.537,540.957,518.898,501.682,487.02,456.842,437.855,420.739,389.119,366.423
55,571.717,552.739,541.378,519.57,502.643,488.299,458.521,439.853,423.168,391.912,369.739
56,572.122,553.578,542.687,521.413,505.104,491.437,462.495,444.658,428.749,398.2,377.122
57,572.522,554.412,543.986,523.241,507.538,494.534,466.411,449.443,434.23,404.382,384.368
58,573.123,555.657,545.92,525.953,511.141,499.105,472.179,456.47,442.267,413.46,394.981
59,573.52,556.68,547.607,528.389,514.427,503.31,477.517,462.993,449.741,422.349,404.919
60,573.917,557.893,549.683,531.433,518.564,508.62,484.27,471.241,459.194,433.662,417.52
61,574.514,559.307,551.959,534.67,522.88,514.084,491.141,479.553,468.671,444.93,430.311
62,574.907,560.501,553.989,537.626,526.867,519.161,497.549,487.312,477.523,455.457,442.624
63,575.302,561.877,556.385,541.148,531.632,525.229,505.202,496.555,488.015,467.943,457.189
64,575.299,562.828,558.32,544.162,535.824,530.645,512.08,504.919,497.61,479.314,470.43
65,575.298,559.771,552.08,534.4,522.18,512.928,489.418,477.256,465.904,441.438,426.048
66,575.485,561.12,554.634,538.298,527.572,519.902,498.329,488.135,478.377,456.352,443.579
67,575.494,562.249,556.938,541.898,532.6,526.424,506.657,498.272,490.015,470.247,459.845
68,573.721,561.315,556.886,542.821,534.572,529.484,511.063,503.992,496.786,478.637,469.893
69,571.722,558.416,553.065,537.998,528.641,522.403,502.601,494.157,485.846,466.026,455.542
70,569.497,557.593,553.698,540.232,532.602,528.151,510.529,504.216,497.659,480.465,472.673
71,567.449,556.782,554.158,542.078,535.924,532.98,517.184,512.627,507.517,492.473,486.825
72,566.209,556.253,554.353,543.058,537.733,535.627,520.841,517.245,512.926,499.049,494.55
73,565.163,552.994,548.836,535.101,527.149,522.362,504.365,497.67,490.827,473.182,464.914
74,563.908,551.681,547.466,533.676,525.654,520.796,502.723,495.941,489.037,471.314,462.949
75,562.857,550.579,546.318,532.481,524.401,519.482,501.343,494.492,487.544,469.733,461.28
76,561.586,549.249,544.93,531.036,522.886,517.893,499.675,492.739,485.723,467.822,459.265
77,560.522,548.133,543.766,529.825,521.614,516.56,498.275,491.266,484.203,466.215,457.568
78,559.235,546.786,542.36,528.36,520.078,514.948,496.581,489.486,482.355,464.272,455.518
79,558.157,545.655,541.18,527.132,518.788,513.594,495.159,487.99,480.809,462.638,453.792
80,556.421,543.833,539.278,525.15,516.708,511.41,492.863,555.63,557.298,551.983,555.397
81,554.445,550.862,555.292,550.697,552.221,556.836,550.009,553.642,555.321,550.009,553.42
82,552.447,548.861,553.29,548.703,550.221,554.829,548.006,551.635,553.325,548.017,551.421
83,550.428,546.837,551.266,546.688,548.201,552.802,545.984,549.608,551.308,546.003,549.401
84,549.297,545.704,550.132,545.559,547.069,551.666,544.851,548.472,550.178,544.875,548.269
85,549.298,545.703,550.131,545.558,547.068,551.666,544.851,548.471,550.178,544.875,548.268
86,549.298,545.703,550.131,545.558,547.068,551.666,544.851,548.471,550.178,544.875,548.268
87,549.298,545.703,550.131,545.558,547.068,551.666,544.851,548.471,550.178,544.875,548.268
88,548.615,545.02,549.448,544.878,546.386,550.981,544.169,547.787,549.497,544.195,547.586
89,545.864,542.263,546.69,542.132,543.634,548.22,541.414,545.025,546.749,541.451,544.833
90,543.306,539.701,544.127,539.58,541.075,545.653,538.854,542.457,544.194,538.901,542.274
91,540.477,536.866,541.292,536.757,538.245,542.814,536.022,539.618,541.367,536.079,539.444
92,537.607,533.991,538.415,533.892,535.374,539.933,533.149,536.737,538.499,533.217,536.572
93,533.22,529.599,534.02,529.515,530.987,535.532,528.761,532.337,534.117,528.843,532.184
94,528.986,525.359,529.778,525.29,526.753,531.284,524.526,528.09,529.886,524.621,527.949
95,524.402,520.772,525.187,520.716,522.17,526.687,519.942,523.494,525.306,520.051,523.365
96,519.975,516.341,520.752,516.299,517.744,522.246,515.515,519.055,520.882,515.637,518.938
